churn,total_day_minutes,n_sms,total_eve_minutes,total_eve_calls,customer_service_rating,customer_happiness,customer_service_calls
0,18,7,42,49,2,8,0
0,17,15,21,25,2,1,0
0,18,4,10,47,3,6,3
0,17,34,35,22,3,6,0
0,17,36,31,17,3,11,3
0,19,9,24,6,3,13,3
1,16,24,33,41,2,0,4
0,18,9,37,29,2,5,0
1,17,8,0,40,3,0,2
0,17,14,38,8,2,15,2
0,17,9,31,10,3,6,0
0,15,17,37,5,3,15,0
0,16,19,0,13,3,9,3
0,17,15,41,34,3,5,0
0,15,13,10,29,3,12,0
0,11,3,28,35,1,13,3
1,18,7,34,41,3,5,5
0,17,10,24,19,2,3,0
1,17,30,34,4,2,9,5
0,18,30,10,13,3,19,0
0,18,16,35,30,1,9,0
0,18,32,22,0,2,9,0
0,17,36,20,44,3,2,0
0,15,29,1,16,2,17,2
0,17,8,36,26,3,6,0
0,19,0,38,48,1,16,4
0,17,36,21,18,1,14,3
0,18,26,42,29,1,3,0
0,18,7,3,1,1,4,0
0,14,15,13,0,3,2,0
0,18,14,37,40,2,10,3
0,17,19,36,43,2,13,0
0,14,32,0,21,1,3,0
0,18,18,20,31,2,11,0
0,16,3,41,38,1,7,0
0,19,19,22,49,2,19,3
0,17,27,38,13,3,18,0
0,17,0,8,10,3,17,4
0,16,8,26,10,1,1,1
0,18,18,22,29,2,10,0
0,18,35,40,44,2,7,0
0,17,24,38,0,2,16,0
0,17,29,27,8,3,0,0
0,18,11,29,44,2,18,0
0,18,15,4,45,3,12,3
0,16,9,21,18,2,18,4
0,18,25,33,15,3,11,3
0,18,34,5,1,2,3,0
0,18,39,8,32,1,19,0
0,18,27,6,47,3,7,0
1,19,19,35,41,1,7,4
0,16,6,29,21,3,7,4
0,17,27,28,29,2,19,0
0,16,7,20,15,3,19,4
0,18,37,13,26,3,5,0
0,17,16,30,30,3,5,2
0,17,11,35,45,3,5,0
0,18,9,43,38,3,6,0
0,17,1,13,28,1,15,3
0,18,24,10,15,3,16,0
0,17,13,11,16,3,4,0
0,17,36,13,8,3,6,2
0,17,33,27,35,2,12,0
0,17,11,22,14,2,15,3
0,17,27,30,19,3,19,3
0,18,0,42,8,1,10,0
0,12,0,32,2,3,7,0
0,15,24,1,19,2,10,2
1,17,28,16,9,3,0,3
0,17,39,43,34,2,5,4
1,17,17,7,11,3,0,5
0,16,3,2,40,2,4,4
0,18,18,18,16,3,1,0
0,0,13,20,15,2,8,3
0,17,21,19,29,2,16,2
0,17,9,36,49,2,18,3
0,18,20,21,34,2,15,2
0,18,15,43,2,3,15,0
1,17,17,3,14,1,0,4
1,17,14,42,41,1,11,3
0,8,0,35,22,3,3,4
0,16,24,41,27,3,13,0
0,18,29,13,33,3,14,3
0,14,12,36,37,3,5,0
0,18,9,33,41,3,16,0
0,17,13,7,24,2,16,0
0,19,37,14,32,1,18,0
0,17,26,32,11,2,8,3
0,18,26,11,6,2,7,0
0,18,16,35,36,3,12,2
0,18,31,16,12,3,4,1
0,17,9,36,5,3,5,0
0,18,18,8,9,3,11,4
0,14,20,6,14,3,14,0
0,18,11,22,30,2,16,0
1,16,23,1,22,1,2,3
0,18,5,2,45,2,15,0
0,16,24,20,19,2,0,0
0,18,11,38,18,2,16,0
0,17,25,41,27,2,10,3
1,18,19,23,8,3,0,5
0,17,20,39,39,1,18,5
0,17,31,8,46,3,10,0
0,17,39,30,17,2,16,1
0,7,0,0,45,3,3,2
0,16,12,32,7,2,1,0
0,18,5,17,27,2,3,0
1,18,14,4,36,2,8,5
0,18,21,42,35,3,15,0
0,16,15,15,6,2,12,4
0,18,22,6,39,2,18,0
0,13,9,24,39,2,12,0
0,17,0,34,41,3,4,3
0,17,31,0,14,3,4,1
0,18,31,39,19,1,4,0
0,19,38,22,10,3,19,4
0,17,3,19,18,3,2,0
0,17,16,21,18,3,1,2
1,16,30,30,18,1,6,3
0,17,2,26,10,1,13,0
1,18,38,18,39,2,0,0
0,16,24,2,43,3,12,0
0,16,27,11,34,2,9,4
0,16,30,19,1,3,13,0
0,16,30,32,2,2,8,4
0,17,19,7,37,1,10,0
0,19,0,24,18,3,10,1
0,16,20,16,23,2,19,0
0,17,21,7,42,3,10,0
0,17,30,26,17,2,15,0
0,14,8,30,6,3,19,4
0,16,37,10,1,2,14,3
0,17,39,12,18,2,19,3
0,18,0,6,19,3,9,0
0,15,18,24,31,3,6,0
0,18,29,41,46,3,5,1
0,13,24,18,37,2,17,4
0,19,28,2,1,3,1,3
0,16,3,7,0,2,8,4
0,18,25,37,38,2,13,0
0,18,24,35,29,1,0,0
0,16,17,6,28,3,11,0
0,18,17,14,49,2,4,4
0,17,37,5,31,1,5,0
0,19,8,27,40,2,15,0
0,18,17,20,8,1,16,5
0,18,7,32,3,3,19,0
0,16,37,23,26,2,6,4
0,17,12,10,37,1,9,0
0,16,21,16,13,3,14,0
0,18,16,41,27,2,6,4
0,16,3,11,39,2,3,0
0,18,10,13,7,2,11,0
0,17,36,2,44,3,19,4
1,17,21,16,42,1,11,4
0,18,15,12,14,2,2,0
0,18,34,41,13,2,17,4
0,17,1,25,45,3,11,0
0,18,12,19,45,2,13,0
0,16,32,23,45,2,3,0
1,14,20,14,42,3,7,5
0,16,22,14,10,3,1,2
0,12,1,34,44,1,16,3
0,17,4,1,4,1,15,3
0,16,16,37,8,1,6,0
1,16,21,0,48,3,0,4
0,17,24,31,21,2,14,0
0,19,28,37,0,2,18,0
0,17,15,43,33,2,10,2
0,18,18,21,11,2,12,4
0,17,26,10,28,2,17,3
0,18,38,30,49,3,4,0
0,17,21,36,3,3,4,0
0,16,39,0,12,3,5,0
0,18,27,36,13,3,1,0
0,17,32,28,16,2,3,0
1,18,33,23,40,3,13,5
0,17,10,15,46,3,9,0
0,19,17,21,45,3,11,4
0,16,27,21,31,3,6,0
0,16,24,34,5,1,15,0
0,18,39,28,21,3,5,3
0,14,28,36,9,2,19,0
1,17,15,13,24,1,8,5
0,18,29,22,47,3,19,0
0,19,1,35,10,3,18,0
0,18,0,0,43,1,3,0
0,19,20,9,49,2,12,0
0,15,29,24,20,3,14,4
0,18,11,16,41,1,12,4
0,17,0,17,8,2,15,0
0,11,10,36,23,3,12,0
0,18,7,30,38,3,9,4
1,18,21,18,32,1,9,4
0,18,20,13,24,3,10,0
0,17,28,35,2,3,2,4
0,17,25,18,20,3,7,3
0,15,28,1,30,3,1,0
1,16,21,9,12,1,7,3
0,16,13,33,0,3,18,3
0,17,26,38,27,1,9,0
0,15,20,2,0,2,18,2
0,17,11,8,45,2,6,0
0,17,14,42,8,3,10,0
0,18,8,1,28,3,1,0
1,16,6,8,29,3,0,3
0,17,30,29,11,1,18,0
0,16,12,28,21,2,6,0
0,15,27,25,45,2,10,2
0,16,0,42,3,3,1,4
0,15,36,17,14,2,5,0
0,17,31,1,18,3,6,3
0,17,25,25,5,1,19,4
0,18,26,15,45,3,10,4
0,18,4,14,20,0,6,0
0,17,10,4,27,3,13,0
0,17,25,37,47,1,11,0
0,17,32,12,20,3,16,0
0,18,29,20,1,2,9,0
0,12,29,27,13,2,10,0
0,17,21,5,10,2,5,0
1,13,15,36,45,1,5,5
0,18,14,23,9,1,9,0
0,13,13,18,46,2,16,0
0,17,31,2,1,3,16,3
0,17,19,36,33,2,17,0
1,18,26,23,16,1,6,5
1,15,21,25,30,1,7,4
0,19,39,38,3,2,12,1
1,18,34,36,45,3,9,5
0,16,33,3,44,3,12,3
1,17,6,14,42,3,0,3
0,17,32,17,28,3,11,0
0,16,22,21,42,3,19,3
0,16,15,30,45,3,13,2
0,17,4,39,40,3,4,4
0,18,1,20,30,1,3,0
0,17,39,6,40,2,0,0
0,18,15,23,36,2,7,0
0,16,11,14,12,3,12,2
1,17,17,43,13,1,6,3
0,18,5,33,27,0,11,0
0,18,6,7,49,2,19,0
0,17,31,4,40,3,17,0
0,18,30,40,19,2,13,0
0,19,29,5,3,3,8,0
0,18,38,34,26,3,16,4
0,17,34,21,10,3,19,3
0,18,22,18,43,2,13,0
0,18,1,38,38,3,12,3
0,17,16,13,28,2,5,4
0,18,18,42,23,2,16,0
0,16,26,41,37,1,17,2
0,17,4,41,43,3,14,0
0,17,36,15,39,2,10,1
1,17,0,30,0,1,0,5
0,18,36,10,4,3,7,0
0,16,0,27,36,3,16,0
0,17,5,39,7,2,16,2
0,16,30,16,14,3,0,0
0,13,12,13,37,2,15,3
1,18,32,41,30,1,3,4
0,18,10,24,14,2,12,4
1,18,33,13,33,1,11,3
0,17,30,30,28,3,9,4
0,17,21,14,30,3,1,1
1,18,26,31,23,2,0,4
0,18,26,15,41,3,5,4
0,14,7,14,9,3,18,0
0,17,25,6,40,3,8,0
0,16,16,36,31,3,9,2
0,18,28,31,1,1,9,0
0,17,36,38,25,2,1,0
0,16,10,19,30,3,3,0
0,14,31,26,33,3,15,0
0,18,32,31,27,3,5,0
0,17,2,6,10,3,11,0
0,17,7,11,35,1,19,0
1,18,4,30,28,1,10,3
0,16,8,8,38,3,18,0
0,18,36,8,34,3,7,0
0,17,6,38,39,2,13,0
0,17,30,39,17,3,18,0
0,17,35,1,9,2,7,2
0,17,5,25,25,3,16,3
0,15,24,3,7,2,1,0
0,12,6,2,16,3,14,2
0,17,36,15,28,2,17,2
0,18,18,35,46,3,5,0
0,18,11,20,43,3,9,0
0,18,31,32,28,3,7,2
0,16,27,10,42,3,16,0
1,18,15,26,11,1,5,4
0,19,10,16,44,2,4,0
1,18,16,3,8,1,9,3
0,17,36,21,38,1,17,3
0,18,9,32,33,3,15,0
0,18,0,7,8,3,6,0
0,16,15,14,8,3,10,0
0,17,31,37,19,2,14,0
0,18,15,22,14,3,6,0
0,15,7,25,46,2,4,4
1,17,12,5,39,3,3,5
0,17,30,29,4,3,16,4
0,19,30,9,5,3,12,0
1,18,7,28,45,3,15,5
0,17,14,37,3,2,12,3
0,17,26,34,7,3,12,3
0,16,20,16,19,3,9,3
1,16,17,11,27,3,13,5
0,16,5,17,19,2,4,0
0,18,7,21,9,3,16,3
0,17,31,10,48,3,14,0
0,19,34,10,28,3,5,0
0,18,16,8,26,3,18,4
0,17,11,18,25,3,14,0
0,17,31,17,1,2,16,0
0,16,35,26,44,3,19,0
1,18,10,2,10,3,0,4
0,17,23,13,49,3,4,0
0,17,37,0,44,3,16,4
0,17,0,10,11,2,2,0
0,17,23,24,20,3,10,0
0,18,12,25,36,2,16,3
0,17,21,5,5,3,0,2
0,18,0,9,6,3,14,3
0,18,30,32,22,2,15,0
0,18,25,9,7,3,8,0
0,17,21,1,38,3,2,0
0,17,27,2,31,2,16,0
0,16,10,35,48,3,5,0
0,18,35,0,12,3,2,0
0,18,24,26,7,2,13,0
0,18,24,33,4,1,16,0
0,14,29,40,19,3,11,4
0,18,24,29,32,2,9,0
0,17,10,12,30,3,3,0
0,18,15,35,25,2,19,0
0,18,35,7,43,1,10,0
0,17,17,30,1,3,1,4
0,18,3,6,0,2,10,0
0,18,14,39,16,3,6,0
0,16,10,29,42,2,10,0
0,19,7,38,9,3,2,0
0,0,19,37,22,3,1,0
1,18,10,16,5,3,13,5
1,16,24,13,8,1,7,3
0,17,39,22,38,3,10,0
0,19,18,13,24,2,1,3
0,16,24,32,46,3,12,4
0,18,16,1,7,2,19,4
0,16,13,31,1,3,6,0
0,17,14,37,34,2,15,4
0,17,24,21,42,3,10,2
0,18,20,11,33,3,17,5
0,19,28,31,11,2,15,4
1,15,20,33,6,3,0,2
0,17,32,13,32,2,14,0
0,17,1,30,9,1,16,0
0,16,25,9,14,3,12,2
0,17,12,2,19,3,8,3
0,19,37,3,3,3,17,0
0,19,32,35,31,1,0,0
0,17,16,43,35,2,8,0
0,17,24,10,18,2,8,0
0,17,27,0,7,3,3,0
0,13,31,8,26,3,19,2
1,17,36,40,3,3,11,5
0,17,12,25,21,2,11,0
0,18,39,9,5,2,11,4
0,18,12,34,32,1,17,2
0,18,9,43,26,3,10,0
0,16,5,4,37,3,5,0
0,18,32,19,22,3,12,1
0,17,4,10,48,3,0,0
0,16,16,34,21,2,12,3
0,17,25,37,1,2,3,2
0,14,15,24,7,2,1,0
0,12,6,37,21,3,10,0
0,14,8,16,14,2,9,0
0,16,36,7,18,1,13,0
0,19,29,35,21,2,14,3
0,19,16,7,6,3,5,0
0,15,2,6,21,3,9,0
1,17,27,36,23,1,5,3
0,16,23,36,33,3,19,3
0,18,28,28,16,0,19,4
0,17,22,1,8,3,16,0
0,17,0,23,41,3,13,2
0,16,30,9,49,3,5,0
0,15,31,22,21,2,2,4
0,16,34,42,11,2,8,0
0,17,39,26,16,2,17,0
0,19,14,23,5,3,3,0
0,16,19,27,26,3,7,0
0,17,1,12,21,3,9,0
0,18,15,37,7,2,18,0
0,18,0,6,44,1,7,0
0,17,1,23,30,3,4,0
0,16,31,26,22,3,18,0
0,16,15,34,29,3,4,3
0,17,0,20,41,3,16,4
0,17,34,12,28,2,14,0
0,16,2,7,47,3,12,0
0,18,34,0,41,1,16,5
0,16,14,29,49,3,7,0
0,17,36,17,25,3,0,0
0,18,36,8,17,3,14,4
0,17,10,17,8,3,17,0
0,17,4,16,11,3,9,0
0,17,11,38,40,2,9,0
0,19,27,20,17,3,2,0
0,16,38,10,44,2,10,4
1,16,0,4,22,1,2,4
0,16,11,10,25,1,16,0
0,18,20,0,49,2,13,0
0,17,31,42,20,2,15,2
0,17,10,18,4,3,17,2
0,16,22,22,8,2,17,4
1,17,12,37,22,3,1,5
0,19,17,35,23,3,13,0
0,18,27,18,31,3,6,2
0,16,11,11,19,3,11,2
0,17,0,17,40,0,18,0
0,17,0,43,27,3,11,2
0,16,25,19,48,3,15,3
0,15,36,34,36,2,13,0
0,17,5,9,33,3,10,0
0,18,20,29,36,1,17,0
0,17,5,25,2,3,18,5
1,17,21,41,28,3,13,5
0,17,14,22,17,2,12,4
1,18,22,39,19,2,0,4
0,17,27,35,40,3,10,3
1,17,3,15,15,3,0,0
0,18,17,30,34,3,8,0
0,18,21,18,42,3,3,3
0,18,5,25,11,3,18,5
0,17,18,8,38,3,11,3
0,17,3,27,46,3,12,3
0,18,34,37,29,1,14,0
0,18,7,35,24,2,11,0
0,17,20,19,23,1,3,0
0,18,19,0,0,3,15,3
0,18,5,20,47,1,8,2
0,16,33,24,16,1,18,5
0,18,37,21,40,3,10,3
0,16,27,31,23,3,15,4
0,16,8,1,13,3,13,0
0,17,26,1,5,3,2,3
0,15,0,35,17,3,14,4
0,18,36,32,0,3,5,0
0,18,34,10,17,3,12,4
0,9,3,42,42,1,18,2
1,19,23,20,16,1,14,4
0,16,34,0,45,2,12,0
0,16,6,5,36,3,16,0
0,18,25,25,15,2,3,4
0,16,36,18,21,2,14,0
0,17,19,3,45,3,7,3
0,16,10,12,33,3,9,0
0,19,35,38,9,2,1,0
0,18,9,9,33,3,16,0
1,15,15,0,44,2,0,0
0,18,2,33,3,3,4,4
0,17,14,8,46,3,6,0
0,18,33,28,9,3,9,2
0,17,8,41,22,1,16,0
0,17,19,14,4,2,17,0
1,12,32,21,22,3,0,3
0,17,29,43,7,3,15,0
0,16,6,1,47,3,4,3
0,18,23,43,9,1,9,0
0,17,29,36,9,2,12,4
1,17,29,21,21,2,0,4
0,19,26,20,27,3,12,1
0,18,37,30,45,1,12,0
0,17,31,37,40,3,19,0
0,17,39,27,46,3,11,0
0,14,0,41,7,2,11,0
0,14,26,40,33,3,12,0
1,17,1,32,9,0,9,3
0,17,5,13,22,3,16,0
0,17,9,40,19,3,1,0
0,15,31,16,16,3,14,4
1,16,32,7,39,3,4,4
0,18,25,23,13,2,2,0
0,17,25,42,27,3,7,4
0,17,14,33,37,3,8,4
0,17,11,19,10,2,12,2
1,17,27,31,12,3,7,4
0,19,16,38,47,3,7,3
0,17,20,21,17,3,5,0
0,14,29,39,40,3,5,3
0,18,22,15,16,2,8,1
0,17,2,27,18,3,13,0
0,17,9,23,17,1,7,0
0,17,39,39,36,1,8,0
0,17,0,16,30,2,7,3
0,18,2,42,35,3,13,0
0,18,19,15,35,3,0,2
0,17,38,1,30,2,5,0
0,16,7,14,49,3,18,0
0,16,9,5,6,3,8,0
0,18,5,35,28,3,19,0
0,17,28,30,1,2,5,0
0,18,35,36,14,2,15,4
0,17,6,0,13,2,11,0
0,16,5,37,20,2,16,2
0,18,7,43,28,1,8,0
0,19,11,23,38,3,6,4
0,19,28,22,18,3,18,0
1,17,35,4,48,1,4,3
0,0,33,43,14,2,0,0
0,18,12,18,13,3,2,0
0,17,30,43,28,2,5,4
0,18,9,6,3,2,10,0
0,19,29,26,39,3,7,0
0,17,35,3,30,2,9,3
0,16,34,11,39,3,1,0
0,18,34,38,40,2,16,4
0,18,31,5,34,3,16,0
1,17,38,7,24,3,2,5
0,18,1,25,12,2,19,0
0,18,37,23,34,3,2,2
0,19,37,34,3,2,18,0
0,18,20,11,48,3,7,0
0,17,1,25,0,2,13,0
0,11,8,2,49,3,11,0
0,17,0,22,49,3,2,4
0,16,14,18,25,3,13,3
0,16,25,14,26,1,1,0
0,17,25,7,15,2,15,2
1,15,23,23,42,3,7,5
0,18,33,43,18,1,2,0
0,17,20,14,0,2,11,3
1,17,31,39,3,2,0,0
0,16,35,2,46,1,15,0
0,16,24,8,36,3,8,0
0,14,7,38,44,3,13,0
0,17,38,32,38,1,5,0
0,18,35,36,3,1,2,2
1,15,35,29,4,3,0,4
0,16,3,3,45,1,17,0
0,18,26,22,4,2,13,0
0,16,26,31,22,2,17,0
0,15,1,25,26,1,5,0
0,18,18,43,25,3,13,0
0,18,39,42,19,1,16,4
0,19,30,2,1,2,9,1
0,14,13,21,46,3,3,0
0,16,18,21,5,1,12,0
0,17,29,30,41,3,7,0
0,19,0,41,32,3,17,3
1,18,27,32,12,3,14,5
0,18,11,25,25,3,14,4
0,18,32,18,23,3,6,0
0,18,0,5,39,2,10,3
0,13,19,9,16,3,14,3
0,16,36,31,12,3,9,0
1,18,2,4,39,2,1,5
0,18,25,27,37,2,14,0
0,16,31,13,31,2,8,3
0,16,6,1,47,3,5,1
0,16,10,12,11,3,16,4
0,16,34,5,17,2,15,0
0,17,30,30,8,3,1,0
1,18,2,16,0,2,2,5
0,17,12,43,19,2,5,2
0,18,33,13,36,3,12,0
0,17,21,34,32,2,1,0
0,17,17,10,6,3,7,0
0,18,20,1,29,2,1,3
0,16,8,6,46,2,15,2
0,18,20,43,36,3,17,3
0,16,27,15,34,3,12,4
0,17,8,15,8,3,6,0
0,16,0,6,46,3,2,3
0,17,26,16,44,3,8,0
0,17,33,36,11,3,3,4
0,18,9,31,21,2,13,1
0,18,19,43,7,2,0,0
0,16,37,33,22,3,12,0
0,18,2,21,17,2,15,3
0,17,5,23,47,2,5,2
0,18,11,2,22,2,14,0
1,14,3,28,4,1,11,4
1,17,17,29,29,2,0,3
1,18,22,10,27,3,3,5
0,18,7,23,28,3,2,0
0,11,0,29,31,2,18,0
0,18,0,43,40,3,10,0
0,16,34,17,13,3,11,2
0,18,12,12,26,3,4,4
0,18,13,33,39,2,9,2
0,17,30,29,19,3,1,3
0,17,33,9,37,3,9,2
0,17,0,25,21,3,8,3
0,15,36,40,11,3,6,4
0,17,23,43,20,2,9,3
0,19,23,42,38,3,7,0
0,18,14,9,6,3,16,4
1,15,4,6,40,2,11,5
0,17,0,35,17,1,5,0
0,18,35,36,49,3,4,0
0,10,19,6,20,2,17,3
0,17,10,5,26,2,9,0
0,19,27,19,10,3,5,0
1,19,28,35,47,3,6,5
0,16,0,40,5,3,19,0
0,18,37,4,21,3,8,0
0,17,0,13,16,3,9,2
0,19,3,38,16,3,8,2
0,18,0,31,41,2,18,3
0,16,36,30,34,3,7,3
0,17,30,20,23,3,17,0
0,18,32,12,4,3,5,4
0,18,14,22,18,3,9,3
0,16,15,39,32,2,14,0
0,17,33,24,38,3,7,4
0,17,28,39,31,3,14,2
0,13,0,29,25,3,2,0
0,17,0,42,29,3,6,0
1,16,17,9,21,1,5,3
0,18,1,12,37,2,2,0
1,17,4,29,47,2,8,5
0,18,7,20,43,2,18,4
0,18,32,0,30,1,12,0
0,16,5,25,23,3,4,0
0,18,5,6,42,2,1,4
0,18,5,1,31,3,1,0
0,18,38,7,46,3,6,2
0,17,5,33,46,2,4,0
1,17,27,34,20,1,3,4
0,18,11,16,45,2,10,0
0,16,2,19,24,3,13,2
0,16,10,9,22,2,4,0
0,18,15,33,20,3,4,3
0,18,28,7,19,2,12,0
0,18,14,17,3,2,8,0
0,17,6,42,26,3,19,0
1,18,8,43,25,1,6,3
0,17,11,11,43,3,8,0
0,18,3,15,46,2,13,4
0,16,38,19,46,3,19,0
0,16,25,38,43,3,9,0
0,17,30,35,17,3,4,0
0,18,17,40,19,2,9,4
0,17,13,42,16,3,4,0
0,16,21,5,31,2,19,3
0,17,33,31,9,3,19,0
0,18,6,0,10,3,2,0
0,17,12,28,18,2,2,0
0,18,34,42,30,2,8,0
0,18,35,6,47,3,2,0
0,18,15,41,9,2,19,2
0,17,21,15,3,1,3,0
0,18,27,15,35,2,6,4
0,16,13,2,49,3,9,0
0,16,16,22,26,2,1,4
0,17,25,5,6,3,11,3
1,17,32,15,20,1,9,3
0,15,13,22,38,3,17,0
0,17,8,35,27,3,15,0
0,18,39,2,27,1,3,0
0,16,7,11,16,2,8,0
0,17,32,15,36,1,14,0
0,18,35,13,2,3,5,1
0,17,15,2,40,2,4,2
0,18,7,23,10,2,6,0
0,17,4,34,12,2,4,0
0,18,30,43,24,3,1,4
0,16,0,43,26,3,19,0
0,17,23,5,48,1,11,0
0,17,23,26,32,3,13,3
0,17,36,2,19,3,3,3
0,18,22,28,28,3,8,0
0,16,29,39,11,2,4,3
0,18,6,14,31,2,18,4
0,16,10,7,47,3,15,4
0,18,4,23,34,1,11,0
1,18,2,40,1,1,11,5
0,16,10,20,8,3,3,0
0,17,4,41,21,2,14,0
0,15,8,19,19,2,0,1
0,18,38,15,9,3,1,3
0,17,8,11,44,2,6,4
0,19,26,18,48,3,16,3
0,16,22,0,25,3,16,3
0,16,30,8,44,3,17,0
0,17,8,7,24,2,11,3
0,16,1,26,43,2,0,0
0,15,19,17,29,3,17,0
0,17,18,40,46,3,5,0
0,19,16,13,18,1,18,2
0,17,28,39,19,2,1,3
0,13,28,40,47,2,14,0
0,17,3,1,4,3,2,4
0,0,10,24,41,3,14,4
0,16,25,15,12,3,15,0
0,16,0,21,18,3,4,0
0,18,17,28,23,3,1,0
0,13,15,11,31,3,15,0
